category,image_path,threshold,x1,y1,x2,y2,area,mean_score,max_score,gt_iou,gt_f1,stability,bbox_width,bbox_height,bbox_area,fill_ratio,aspect_ratio,aspect_score,relative_area,inside_mean,inside_max,inside_std,ring_mean,ring_max,local_contrast,peak_contrast,peak_margin,component_rank,mean_score_norm,max_score_norm,inside_mean_norm,inside_max_norm,inside_std_norm,local_contrast_norm,peak_contrast_norm,peak_margin_norm,stability_norm,fill_ratio_norm,aspect_score_norm,relative_area_norm,area_penalty_norm,enhanced_region_score
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/bent/000.png,0.7999999999999999,62,172,83,194,384,0.8956359028816223,1.0,0.12868217054263567,0.22802197802197802,0.7734375,22,23,506,0.758893280632411,0.9565217391304348,0.957440099999047,0.007653061224489796,0.8956359028816223,1.0,0.059346843510866165,0.6013935804367065,0.7998157739639282,0.29424232244491577,0.39860641956329346,0.20018422603607178,1,0.88316554,1.0,0.88316554,1.0,0.9836135,0.60965174,0.6890185,0.99685764,0.8601614,0.86727387,0.8772334,0.10880999,0.89119,0.88316554
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/bent/000.png,0.7999999999999999,45,60,57,72,131,0.8297767639160156,0.8617258667945862,0.18159203980099503,0.30736842105263157,0.5954198473282443,13,13,169,0.7751479289940828,1.0,1.0,0.002610809948979592,0.8297767639160156,0.8617258667945862,0.017769014462828636,0.6729385852813721,0.799558162689209,0.15683817863464355,0.1887872815132141,0.0621677041053772,2,0.22543758,0.25373837,0.22543758,0.25373837,0.23960818,0.23347625,0.23659156,0.25476792,0.10215554,0.8957418,1.0,0.025641024,0.974359,0.22543758
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/bent/002.png,0.7999999999999999,89,43,111,64,405,0.897495687007904,1.0,0.19066147859922178,0.3202614379084967,0.7777777777777778,23,22,506,0.8003952569169961,1.0454545454545454,0.957440099999047,0.008071588010204082,0.897495687007904,1.0,0.057811688631772995,0.6000722050666809,0.799933910369873,0.29742348194122314,0.3999277949333191,0.20006608963012695,1,0.901739,1.0,0.901739,1.0,0.956143,0.6183609,0.6918677,0.99622244,0.87864256,0.9399592,0.8772334,0.11571335,0.88428664,0.901739
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/bent/002.png,0.7999999999999999,93,185,101,192,53,0.8125631809234619,0.8260155320167542,0.09243697478991597,0.16923076923076924,0.5714285714285714,9,8,72,0.7361111111111112,1.125,0.8946279985478408,0.0010562818877551021,0.8125631809234619,0.8260155320167542,0.007709100376814604,0.6848182082176208,0.79985511302948,0.12774497270584106,0.1411973237991333,0.02616041898727417,2,0.053527422,0.0610107,0.053527422,0.0610107,0.05959327,0.15382689,0.13397472,0.061163284,0.0,0.8273739,0.69604826,0.0,1.0,0.053527422
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/bent/003.png,0.7999999999999999,111,17,137,43,557,0.8974942564964294,1.0,0.1422070534698521,0.24900398406374502,0.7784047191587586,27,27,729,0.7640603566529492,1.0,1.0,0.01110092474489796,0.8974942564964294,1.0,0.05765269324183464,0.6195055246353149,0.7997934222221375,0.2779887318611145,0.38049447536468506,0.20020657777786255,1,0.9017247,1.0,0.9017247,1.0,0.9532979,0.5651538,0.6499642,0.99697787,0.881312,0.8763234,1.0,0.16568047,0.83431953,0.9017247
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/bent/004.png,0.7999999999999999,154,174,175,200,441,0.892898440361023,1.0,0.2777777777777778,0.43478260869565216,0.7674117265954,22,27,594,0.7424242424242424,0.8148148148148148,0.8300171294816712,0.0087890625,0.892898440361023,1.0,0.056852780282497406,0.6259202361106873,0.7998161911964417,0.2669782042503357,0.37407976388931274,0.20018380880355835,1,0.8558268,1.0,0.8558268,1.0,0.93898404,0.5350099,0.63613236,0.99685544,0.8345034,0.8384305,0.5096745,0.12754767,0.8724523,0.8558268
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/bent/004.png,0.7999999999999999,21,103,41,123,340,0.872882068157196,0.9514926075935364,0.1935483870967742,0.32432432432432434,0.7109243697478992,21,21,441,0.7709750566893424,1.0,1.0,0.006776147959183673,0.872882068157196,0.9514926075935364,0.044276267290115356,0.6292473077774048,0.7994602918624878,0.24363476037979126,0.3222452998161316,0.15203231573104858,2,0.6559255,0.738207,0.6559255,0.738207,0.7139364,0.47110188,0.5243632,0.7379536,0.5939783,0.8884336,1.0,0.09434582,0.9056542,0.6559255
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/bent/007.png,0.7999999999999999,12,40,42,63,621,0.8975759148597717,1.0,0.44350580781414994,0.6144842721287491,0.7786979526109962,31,24,744,0.8346774193548387,1.2916666666666667,0.7962205803209732,0.012376434948979591,0.8975759148597717,1.0,0.05722830072045326,0.636234700679779,0.7995313405990601,0.2613412141799927,0.36376529932022095,0.20046865940093994,1,0.9025402,1.0,0.9025402,1.0,0.9457037,0.5195774,0.6138916,0.998387,0.8825607,1.0,0.41218638,0.18671927,0.8132807,0.9025402
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/broken/003.png,0.7999999999999999,31,80,60,112,759,0.8907181024551392,1.0,0.23738626964433415,0.3836898395721925,0.761340109166196,30,33,990,0.7666666666666667,0.9090909090909091,0.9129833890329112,0.015126753826530613,0.8907181024551392,1.0,0.05698997899889946,0.648407518863678,0.7997941970825195,0.24231058359146118,0.351592481136322,0.20020580291748047,1,0.834052,1.0,0.834052,1.0,0.9414391,0.46747664,0.5876437,0.9969737,0.8086502,0.880888,0.74899554,0.23208414,0.76791584,0.834052
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/broken/003.png,0.7999999999999999,191,148,213,172,443,0.8793445229530334,0.9658490419387817,0.21649484536082475,0.3559322033898305,0.7326668816510804,23,25,575,0.7704347826086957,0.92,0.9230357906659444,0.00882892219387755,0.8793445229530334,0.9658490419387817,0.04796167463064194,0.6300092339515686,0.7999764680862427,0.24933528900146484,0.33583980798721313,0.16587257385253906,2,0.7204653,0.81568825,0.7204653,0.81568825,0.7798841,0.48670837,0.55367666,0.8123701,0.6865587,0.8874874,0.77799225,0.12820512,0.8717949,0.7204653
